transaction_number,transaction_date,transaction_type,transaction_description,debit_amount,credit_amount,balance,category,location_city,location_country,amount,direction
2931,2019-11-29,BGC,SWANSEA UNIVERSITY,,190.5,4682.12,Supplementary Income,Swansea,UK,190.5,credit
2932,2019-11-28,FPO,AMELIA TERESZKIEWI,15.0,,4491.62,Services,Swansea,UK,15.0,debit
2933,2019-11-28,CPT,LNK M&S SWANSEA,40.0,,4506.62,Cash,Swansea,UK,40.0,debit
2934,2019-11-28,FPO,SALLY GOLDSTONE,28.0,,4546.62,Others,Swansea,UK,28.0,debit
2935,2019-11-27,DEB,THE BIKE HUB,35.0,,4574.62,Other Shopping,Unknown,Unknown,35.0,debit
2936,2019-11-27,DD,TALKTALK LIMITED,19.95,,4609.62,Bills,Swansea,UK,19.95,debit
2937,2019-11-27,BGC,SHAREDEALING HSDL,,200.0,4629.57,Supplementary Income,Swansea,UK,200.0,credit
2938,2019-11-25,DD,HARLANDS,25.0,,4429.57,Fitness,Swansea,UK,25.0,debit
2939,2019-11-25,BP,SAVE THE CHANGE,0.63,,4454.57,Savings,Swansea,UK,0.63,debit
2940,2019-11-25,DEB,Brontosaurus Vegan,24.39,,4455.2,Dine Out,Swansea,UK,24.39,debit
2941,2019-11-25,DEB,THE BIKE HUB,20.0,,4479.59,Other Shopping,Unknown,Unknown,20.0,debit
2942,2019-11-25,DEB,Brontosaurus Vegan,14.99,,4499.59,Dine Out,Swansea,UK,14.99,debit
2943,2019-11-25,DEB,Audible UK,7.99,,4514.58,Entertainment,Swansea,UK,7.99,debit
2944,2019-11-25,CPT,LOYD LOYD 802 OXFO,50.0,,4522.57,Cash,Swansea,UK,50.0,debit
2945,2019-11-22,CPT,LNK TESCO FABIAN W,20.0,,4572.57,Cash,Swansea,UK,20.0,debit
2946,2019-11-22,DD,CORGI HOMEPLAN,18.0,,4592.57,Home Improvement,swansea,UK,18.0,debit
2947,2019-11-22,BGC,SWANSEA UNIVERSITY,,186.29,4610.57,Supplementary Income,Swansea,UK,186.29,credit
2948,2019-11-20,CPT,LNK TESCO FABIAN W,40.0,,4424.28,Cash,Swansea,UK,40.0,debit
2949,2019-11-20,BP,SAVE THE CHANGE,0.96,,4464.28,Savings,Swansea,UK,0.96,debit
2950,2019-11-19,DEB,AMZNMktplace,3.04,,4465.24,Amazon,Swansea,UK,3.04,debit
2951,2019-11-18,DD,O2,38.42,,4468.28,Other Shopping,Swansea,UK,38.42,debit
2952,2019-11-18,BP,SAVE THE CHANGE,1.7,,4506.7,Savings,Swansea,UK,1.7,debit
2953,2019-11-18,DEB,Brontosaurus Vegan,41.18,,4508.4,Dine Out,Swansea,UK,41.18,debit
2954,2019-11-18,DEB,MARKS&SPENCER PLC,7.12,,4549.58,Clothes,Unknown,Unknown,7.12,debit
2955,2019-11-18,CPT,LNK M&S SWANSEA,40.0,,4556.7,Cash,Swansea,UK,40.0,debit
2956,2019-11-15,FPO,AMELIA TERESZKIEWI,20.0,,4596.7,Services,Swansea,UK,20.0,debit
2957,2019-11-15,CPT,LNK FULTON HOUSE,40.0,,4616.7,Cash,Swansea,UK,40.0,debit
2958,2019-11-15,BGC,UNII OF BHAM INST,,115.6,4656.7,Supplementary Income,Swansea,UK,115.6,credit
2959,2019-11-14,FPO,REMUS,27.37,,4541.1,Clothes,Unknown,Unknown,27.37,debit
2960,2019-11-13,CPT,LNK TESCO FABIAN W,50.0,,4568.47,Cash,Swansea,UK,50.0,debit
2961,2019-12-11,BP,SAVE THE CHANGE,0.2,,4618.47,Savings,Swansea,UK,0.2,debit
2962,2019-11-11,DEB,ANOKI LTD,50.8,,4618.67,Dine Out,Nottingham,UK,50.8,debit
2963,2019-11-11,CPT,LNK 36 CLUMBER STR,40.0,,4669.47,Cash,Nottingham,UK,40.0,debit
2964,2019-07-11,DD,THE GYM LTD,14.99,,4709.47,Fitness,Swansea,UK,14.99,debit
2965,2019-07-11,BP,SAVE THE CHANGE,3.45,,4724.46,Savings,Swansea,UK,3.45,debit
2966,2019-06-11,DEB,TFW RAIL SERVICES,138.25,,4727.91,Travel,Unknown,Unknown,138.25,debit
2967,2019-06-11,DEB,TESCO STORES 6213,25.6,,4866.16,Groceries,Unknown,Unknown,25.6,debit
2968,2019-06-11,DEB,UBER TRIP HELP.UBE,9.16,,4891.76,Travel,Unknown,Unknown,9.16,debit
2969,2019-06-11,DEB,UBER TRIP HELP.UBE,8.04,,4900.92,Travel,Unknown,Unknown,8.04,debit
2970,2019-06-11,DEB,UBER TRIP HELP.UBE,3.5,,4908.96,Travel,Unknown,Unknown,3.5,debit
2971,2019-04-11,DEP,CLUB LLOYDS WAIVED,,3.0,4912.46,Supplementary Income,Swansea,UK,3.0,credit
2972,2019-04-11,PAY,CLUB LLOYDS FEE,3.0,,4909.46,Bills,Swansea,UK,3.0,debit
2973,2019-04-11,BP,SAVE THE CHANGE,1.62,,4912.46,Savings,Swansea,UK,1.62,debit
2974,2019-04-11,DEB,Brontosaurus Vegan,27.22,,4914.08,Dine Out,Swansea,UK,27.22,debit
2975,2019-04-11,DEB,IZ *EZY VEGAN LTD,9.5,,4941.3,Dine Out,Nottingham,UK,9.5,debit
2976,2019-04-11,CPT,LNK M&S SWANSEA,50.0,,4950.8,Cash,Swansea,UK,50.0,debit
2977,2019-04-11,DEP,LOYD 802 OXFORD ST,,45.75,5000.8,Supplementary Income,Swansea,UK,45.75,credit
2978,2019-04-11,CPT,LNK M&S SWANSEA,50.0,,4955.05,Cash,Swansea,UK,50.0,debit
2979,2019-01-11,Unknown,INTEREST (GROSS),,4.78,5005.05,Interest,Swansea,UK,4.78,credit
2980,2019-01-11,DEB,NON-GBP PURCH FEE,0.5,,5000.27,Others,Swansea,UK,0.5,debit
2981,2019-01-11,DEB,NON-GBP TRANS FEE,1.27,,5000.77,Others,Swansea,UK,1.27,debit
2982,2019-01-11,DEB,DELTA AIR   Baggag,42.66,,5002.04,Travel,Unknown,Unknown,42.66,debit
2983,2019-01-11,CPT,LNK TESCO FABIAN W,50.0,,5044.7,Cash,Swansea,UK,50.0,debit
2984,2019-01-11,DD,SANTANDER MORTGAGE,959.09,,5094.7,Mortgage,Swansea,UK,959.09,debit
2985,2019-01-11,DD,CC SWANSEA C.TAX,147.0,,6053.79,Bills,Swansea,UK,147.0,debit
2986,2019-01-11,DD,GOOD ENERGY LTD,50.0,,6200.79,Bills,Swansea,UK,50.0,debit
2987,2019-01-11,DD,DWR CYMRU W WATER,32.5,,6250.79,Bills,Swansea,UK,32.5,debit
2988,2019-01-11,DD,ZURICH,24.82,,6283.29,Insurance,Swansea,UK,24.82,debit
2989,2019-01-11,SO,ESAVINGS ACCOUNT,300.0,,6308.11,Savings,Swansea,UK,300.0,debit
2990,2019-10-31,DD,UCU B ACCOUNT,24.76,,6608.11,Others,Swansea,UK,24.76,debit
2991,2019-10-31,BP,SAVE THE CHANGE,0.81,,6632.87,Savings,Swansea,UK,0.81,debit
2992,2019-10-31,BGC,SWANSEA UNI - PAY,,3289.12,6633.68,Paycheck,Swansea,UK,3289.12,credit
2993,2019-10-30,FPO,SALLY GOLDSTONE,550.0,,3344.56,Others,Swansea,UK,550.0,debit
2994,2019-10-30,DEB,NON-GBP PURCH FEE,0.5,,3894.56,Others,Swansea,UK,0.5,debit
2995,2019-10-30,DEB,NON-GBP TRANS FEE,33.1,,3895.06,Others,Swansea,UK,33.1,debit
2996,2019-10-30,DEB,PINNACLE VANCOUVER,1107.19,,3928.16,Hotels,Vancouver,Canada,1107.19,debit
2997,2019-10-28,DD,TALKTALK LIMITED,20.61,,5035.35,Bills,Swansea,UK,20.61,debit
2998,2019-10-28,DEB,FOREIGN CASH FEE,1.5,,5055.96,Travel,Unknown,Unknown,1.5,debit
2999,2019-10-28,DEB,PROSPECT POINT BAR,68.98,,5057.46,Dine Out,Vancouver,Canada,68.98,debit
3000,2019-10-25,BP,SAVE THE CHANGE,0.01,,5126.44,Savings,Swansea,UK,0.01,debit
3001,2019-10-25,BGC,SWANSEA UNIVERSITY,,923.05,5126.45,Supplementary Income,Swansea,UK,923.05,credit
3002,2019-10-24,DEB,Audible.co.uk,7.99,,4203.4,Entertainment,Swansea,UK,7.99,debit
3003,2019-10-23,DD,HARLANDS,25.0,,4211.39,Fitness,Swansea,UK,25.0,debit
3004,2019-10-23,BP,SAVE THE CHANGE,0.67,,4236.39,Savings,Swansea,UK,0.67,debit
3005,2019-10-22,DEB,NON-GBP PURCH FEE,0.5,,4237.06,Others,Swansea,UK,0.5,debit
3006,2019-10-22,DEB,NON-GBP TRANS FEE,2.96,,4237.56,Others,Swansea,UK,2.96,debit
3007,2019-10-22,DEB,RONSONS #102,99.33,,4240.52,Home Improvement,swansea,UK,99.33,debit
3008,2019-10-22,DD,CORGI HOMEPLAN,18.0,,4339.85,Home Improvement,swansea,UK,18.0,debit
3009,2019-10-22,BP,SAVE THE CHANGE,2.09,,4357.85,Savings,Swansea,UK,2.09,debit
3010,2019-10-21,DEB,NON-GBP CASH FEE,1.5,,4359.94,Others,Swansea,UK,1.5,debit
3011,2019-10-21,DEB,NON-GBP TRANS FEE,5.31,,4361.44,Others,Swansea,UK,5.31,debit
3012,2019-10-21,DEB,*VANCOUVER CBC & M,177.86,,4366.75,Travel,Vancouver,Canada,177.86,debit
3013,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4544.61,Others,Swansea,UK,0.5,debit
3014,2019-10-21,DEB,NON-GBP TRANS FEE,4.68,,4545.11,Others,Swansea,UK,4.68,debit
3015,2019-10-21,DEB,PINNACLE VANCOUVER,156.74,,4549.79,Hotels,Vancouver,Canada,156.74,debit
3016,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4706.53,Others,Swansea,UK,0.5,debit
3017,2019-10-21,DEB,NON-GBP TRANS FEE,0.25,,4707.03,Others,Swansea,UK,0.25,debit
3018,2019-10-21,DEB,BLAZE PIZZA,8.5,,4707.28,Dine Out,Unknown,Unknown,8.5,debit
3019,2019-10-21,DEB,BREKA BAKERY & CAF,2.62,,4715.78,Dine Out,Unknown,Unknown,2.62,debit
3020,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4718.4,Others,Swansea,UK,0.5,debit
3021,2019-10-21,DEB,NON-GBP TRANS FEE,1.04,,4718.9,Others,Swansea,UK,1.04,debit
3022,2019-10-21,DEB,AMTRAK  292795,35.05,,4719.94,Travel,Unknown,Unknown,35.05,debit
3023,2019-10-21,DEB,KLM UNITEDKI074823,43.0,,4754.99,Travel,Unknown,Unknown,43.0,debit
3024,2019-10-21,TFR,F/FLOW KING ABDULL,,216.93,4797.99,Supplementary Income,Swansea,UK,216.93,credit
3025,2019-10-21,DD,VIRGIN MEDIA PYMTS,44.5,,4581.06,Bills,Swansea,UK,44.5,debit
3026,2019-10-21,BP,SAVE THE CHANGE,3.49,,4625.56,Savings,Swansea,UK,3.49,debit
3027,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4629.05,Others,Swansea,UK,0.5,debit
3028,2019-10-21,DEB,NON-GBP TRANS FEE,0.81,,4629.55,Others,Swansea,UK,0.81,debit
3029,2019-10-21,DEB,OLD NAVY 4218,27.21,,4630.36,Clothes,Unknown,Unknown,27.21,debit
3030,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4657.57,Others,Swansea,UK,0.5,debit
3031,2019-10-21,DEB,NON-GBP TRANS FEE,0.55,,4658.07,Others,Swansea,UK,0.55,debit
3032,2019-10-21,DEB,UBER   TRIP,18.52,,4658.62,Travel,Unknown,Unknown,18.52,debit
3033,2019-10-21,DEB,NON-GBP PURCH FEE,0.5,,4677.14,Others,Swansea,UK,0.5,debit
3034,2019-10-21,DEB,NON-GBP TRANS FEE,1.32,,4677.64,Others,Swansea,UK,1.32,debit
3035,2019-10-21,DEB,DHERGANE FARAH,44.4,,4678.96,Services,Swansea,UK,44.4,debit
3036,2019-10-21,DEB,TFW RAIL SERVICES,50.4,,4723.36,Travel,Unknown,Unknown,50.4,debit
3037,2019-10-21,DEB,M&S SIMPLY FOOD SS,6.4,,4773.76,Groceries,Swansea,UK,6.4,debit
3038,2019-10-18,DEB,AIRBNB * HMABB9424,705.58,,4780.16,Hotels,Unknown,Unknown,705.58,debit
3039,2019-10-18,BP,SAVE THE CHANGE,0.02,,5485.74,Savings,Swansea,UK,0.02,debit
3040,2019-10-17,DEB,Audible.co.uk,18.0,,5485.76,Entertainment,Swansea,UK,18.0,debit
3041,2019-10-17,DEB,AMZNMktplace,11.99,,5503.76,Amazon,Swansea,UK,11.99,debit
3042,2019-10-17,DEB,AMZNMKTPLACE AMAZO,11.99,,5515.75,Amazon,Swansea,UK,11.99,debit
3043,2019-10-17,BP,SAVE THE CHANGE,0.23,,5527.74,Savings,Swansea,UK,0.23,debit
3044,2019-10-16,DEB,TURKISH LTD 311058,12.77,,5527.97,Travel,Unknown,Unknown,12.77,debit
3045,2019-10-16,CHQ,54,35.0,,5540.74,Cash,Unknown,Unknown,35.0,debit
3046,2019-10-16,DD,O2,18.39,,5575.74,Other Shopping,Swansea,UK,18.39,debit
3047,2019-10-16,BP,SAVE THE CHANGE,0.2,,5594.13,Savings,Swansea,UK,0.2,debit
3048,2019-10-15,DEB,AMZNMktplace,6.8,,5594.33,Amazon,Swansea,UK,6.8,debit
3049,2019-10-15,CPT,LNK TESCO FABIAN W,50.0,,5601.13,Cash,Swansea,UK,50.0,debit
3050,2019-10-14,BP,SAVE THE CHANGE,1.15,,5651.13,Savings,Swansea,UK,1.15,debit
3051,2019-10-14,DEB,Brontosaurus Vegan,14.35,,5652.28,Dine Out,Swansea,UK,14.35,debit
3052,2019-10-14,DEB,MARKS&SPENCER PLC,4.7,,5666.63,Clothes,Unknown,Unknown,4.7,debit
3053,2019-10-14,CPT,LNK M&S SWANSEA,50.0,,5671.33,Cash,Swansea,UK,50.0,debit
3054,2019-11-10,DEB,TFW RAIL SERVICES,103.8,,5721.33,Travel,Unknown,Unknown,103.8,debit
3055,2019-10-10,BP,SAVE THE CHANGE,0.11,,5825.13,Savings,Swansea,UK,0.11,debit
3056,2019-09-10,DEB,Amazon.co.uk*MO5VX,7.89,,5825.24,Amazon,Swansea,UK,7.89,debit
3057,2019-09-10,CPT,LNK TESCO FABIAN W,50.0,,5833.13,Cash,Swansea,UK,50.0,debit
3058,2019-08-10,BP,SAVE THE CHANGE,0.08,,5883.13,Savings,Swansea,UK,0.08,debit
3059,2019-07-10,DEB,AMZNMktplace,8.92,,5883.21,Amazon,Swansea,UK,8.92,debit
3060,2019-07-10,DD,HARLANDS,25.0,,5892.13,Fitness,Swansea,UK,25.0,debit
3061,2019-07-10,DD,THE GYM LTD,14.99,,5917.13,Fitness,Swansea,UK,14.99,debit
3062,2019-07-10,BP,SAVE THE CHANGE,1.54,,5932.12,Savings,Swansea,UK,1.54,debit
3063,2019-07-10,DEB,WILKO RETAIL LIMIT,21.25,,5933.66,Other Shopping,Unknown,Unknown,21.25,debit
3064,2019-07-10,DEB,MARKS&SPENCER PLC,11.71,,5954.91,Clothes,Unknown,Unknown,11.71,debit
3065,2019-07-10,DEB,SAINSBURYS S/MKTS,13.5,,5966.62,Groceries,Unknown,Unknown,13.5,debit
3066,2019-07-10,FPO,AMELIA TERESZKIEWI,20.0,,5980.12,Services,Swansea,UK,20.0,debit
3067,2019-04-10,DEB,TESCO STORES 4628,5.0,,6000.12,Groceries,Unknown,Unknown,5.0,debit
3068,2019-04-10,CPT,LNK TESCO FABIAN W,40.0,,6005.12,Cash,Swansea,UK,40.0,debit
3069,2019-03-10,DEB,THE BIKE HUB,30.0,,6045.12,Other Shopping,Unknown,Unknown,30.0,debit
3070,2019-02-10,DEP,CLUB LLOYDS WAIVED,,3.0,6075.12,Supplementary Income,Swansea,UK,3.0,credit
3071,2019-02-10,PAY,CLUB LLOYDS FEE,3.0,,6072.12,Bills,Swansea,UK,3.0,debit
3072,2019-02-10,CPT,LNK SWANSEA CITY C,50.0,,6075.12,Cash,Swansea,UK,50.0,debit
3073,2019-02-10,BP,SAVE THE CHANGE,0.2,,6125.12,Savings,Swansea,UK,0.2,debit
3074,2019-01-10,Unknown,INTEREST (GROSS),,5.78,6125.32,Interest,Swansea,UK,5.78,credit
3075,2019-01-10,DEB,PETER ALAN RESIDEN,178.8,,6119.54,Rent,Swansea,UK,178.8,debit
3076,2019-01-10,DD,SANTANDER MORTGAGE,959.09,,6298.34,Mortgage,Swansea,UK,959.09,debit
3077,2019-01-10,DD,CC SWANSEA C.TAX,147.0,,7257.43,Bills,Swansea,UK,147.0,debit
3078,2019-01-10,DD,GOOD ENERGY LTD,50.0,,7404.43,Bills,Swansea,UK,50.0,debit
3079,2019-01-10,DD,DWR CYMRU W WATER,32.5,,7454.43,Bills,Swansea,UK,32.5,debit
3080,2019-01-10,DD,ZURICH,24.82,,7486.93,Insurance,Swansea,UK,24.82,debit
3081,2019-01-10,SO,ESAVINGS ACCOUNT,300.0,,7511.75,Savings,Swansea,UK,300.0,debit
3082,2019-09-30,DD,UCU B ACCOUNT,24.76,,7811.75,Others,Swansea,UK,24.76,debit
3083,2019-09-30,BP,SAVE THE CHANGE,2.48,,7836.51,Savings,Swansea,UK,2.48,debit
3084,2019-09-30,BGC,SWANSEA UNI - PAY,,3311.76,7838.99,Paycheck,Swansea,UK,3311.76,credit
3085,2019-09-30,DEB,Brontosaurus Vegan,21.77,,4527.23,Dine Out,Swansea,UK,21.77,debit
3086,2019-09-30,DEB,MARKS&SPENCER PLC,7.1,,4549.0,Clothes,Unknown,Unknown,7.1,debit
3087,2019-09-30,DEB,SAINSBURYS S/MKTS,22.5,,4556.1,Groceries,Unknown,Unknown,22.5,debit
3088,2019-09-30,CPT,LNK M&S SWANSEA,50.0,,4578.6,Cash,Swansea,UK,50.0,debit
3089,2019-09-27,DEB,TURKISH LTD 311058,13.15,,4628.6,Travel,Unknown,Unknown,13.15,debit
3090,2019-09-27,CPT,LNK TESCO FABIAN W,30.0,,4641.75,Cash,Swansea,UK,30.0,debit
3091,2019-09-25,CPT,LNK TESCO FABIAN W,50.0,,4671.75,Cash,Swansea,UK,50.0,debit
3092,2019-09-25,BP,SAVE THE CHANGE,0.01,,4721.75,Savings,Swansea,UK,0.01,debit
3093,2019-09-24,DEB,Audible.co.uk,7.99,,4721.76,Entertainment,Swansea,UK,7.99,debit
3094,2019-09-24,BP,SAVE THE CHANGE,0.3,,4729.75,Savings,Swansea,UK,0.3,debit
3095,2019-09-23,DEB,Audible.co.uk,18.0,,4730.05,Entertainment,Swansea,UK,18.0,debit
3096,2019-09-23,DEB,MARKS&SPENCER PLC,4.7,,4748.05,Clothes,Unknown,Unknown,4.7,debit
3097,2019-09-23,DEB,URBANZENINSTRUCTOR,7.0,,4752.75,Services,Swansea,UK,7.0,debit
3098,2019-09-23,CHQ,53,500.0,,4759.75,Cash,Unknown,Unknown,500.0,debit
3099,2019-09-23,DD,VIRGIN MEDIA PYMTS,36.8,,5259.75,Bills,Swansea,UK,36.8,debit
3100,2019-09-23,DD,CORGI HOMEPLAN,14.75,,5296.55,Home Improvement,swansea,UK,14.75,debit
3101,2019-09-23,BP,SAVE THE CHANGE,0.63,,5311.3,Savings,Swansea,UK,0.63,debit
3102,2019-09-23,DEB,Brontosaurus Vegan,10.79,,5311.93,Dine Out,Swansea,UK,10.79,debit
3103,2019-09-23,CPT,LNK PO THE CITYOFS,50.0,,5322.72,Cash,Unknown,Unknown,50.0,debit
3104,2019-09-20,DEB,AMZNMktplace,30.58,,5372.72,Amazon,Swansea,UK,30.58,debit
3105,2019-09-20,BP,SAVE THE CHANGE,0.25,,5403.3,Savings,Swansea,UK,0.25,debit
3106,2019-09-20,BGC,UNIV OF NOTTINGHAM,,186.29,5403.55,Paycheck,Nottingham,UK,186.29,credit
3107,2019-09-19,DEB,NON-GBP PURCH FEE,0.5,,5217.26,Others,Swansea,UK,0.5,debit
3108,2019-09-19,DEB,NON-GBP TRANS FEE,1.36,,5217.76,Others,Swansea,UK,1.36,debit
3109,2019-09-19,DEB,NAME-CHEAP.COM,45.75,,5219.12,Purchase of uk.eg.org,Swansea,UK,45.75,debit
3110,2019-09-19,BP,SAVE THE CHANGE,0.05,,5264.87,Savings,Swansea,UK,0.05,debit
3111,2019-09-18,DEB,WWW.FREEDOM-LEISUR,5.95,,5264.92,Entertainment,Worcester,UK,5.95,debit
3112,2019-09-17,DEB,ODEON UPT,10.0,,5270.87,Entertainment,Unknown,Unknown,10.0,debit
3113,2019-09-17,TFR,F/FLOW AARHUS UNIV,,250.31,5280.87,Supplementary Income,Swansea,UK,250.31,credit
3114,2019-09-16,CPT,LNK TESCO FABIAN W,50.0,,5030.56,Cash,Swansea,UK,50.0,debit
3115,2019-09-16,DD,O2,23.38,,5080.56,Other Shopping,Swansea,UK,23.38,debit
3116,2019-09-16,BP,SAVE THE CHANGE,1.76,,5103.94,Savings,Swansea,UK,1.76,debit
3117,2019-09-16,DEB,Brontosaurus Vegan,13.28,,5105.7,Dine Out,Swansea,UK,13.28,debit
3118,2019-09-16,DEB,SPORTSDIRECT 141,41.99,,5118.98,Other Shopping,Unknown,Unknown,41.99,debit
3119,2019-09-16,DEB,Brontosaurus Vegan,13.04,,5160.97,Dine Out,Swansea,UK,13.04,debit
3120,2019-09-13,DEB,AMZNMktplace,9.99,,5174.01,Amazon,Swansea,UK,9.99,debit
3121,2019-09-13,DEB,AMZNMKTPLACE AMAZO,9.99,,5184.0,Amazon,Swansea,UK,9.99,debit
3122,2019-09-13,DEB,WWW.FREEDOM-LEISUR,5.95,,5193.99,Entertainment,Worcester,UK,5.95,debit
3123,2019-09-13,CPT,LOYD LOYD 802 OXFO,80.0,,5199.94,Cash,Swansea,UK,80.0,debit
3124,2019-09-13,BP,SAVE THE CHANGE,0.45,,5279.94,Savings,Swansea,UK,0.45,debit
3125,2019-12-09,DEB,SAINSBURYS S/MKTS,28.55,,5280.39,Groceries,Unknown,Unknown,28.55,debit
3126,2019-12-09,BP,SAVE THE CHANGE,0.1,,5308.94,Savings,Swansea,UK,0.1,debit
3127,2019-11-09,DEB,WWW.FREEDOM-LEISUR,5.95,,5309.04,Entertainment,Worcester,UK,5.95,debit
3128,2019-11-09,DEB,Amazon.co.uk*MA0PV,0.95,,5314.99,Amazon,Swansea,UK,0.95,debit
3129,2019-11-09,BP,SAVE THE CHANGE,0.9,,5315.94,Savings,Swansea,UK,0.9,debit
3130,2019-10-09,DEB,TESCO STORES 5957,6.1,,5316.84,Groceries,Unknown,Unknown,6.1,debit
3131,2019-10-09,CPT,LNK TESCO FABIAN W,50.0,,5322.94,Cash,Swansea,UK,50.0,debit
3132,2019-10-09,BP,SAVE THE CHANGE,1.34,,5372.94,Savings,Swansea,UK,1.34,debit
3133,2019-09-09,DEB,ORCHARD HOTEL,89.0,,5374.28,Hotels,Nottingham,UK,89.0,debit
3134,2019-09-09,DEB,TFW RAIL SERVICES,84.2,,5463.28,Travel,Unknown,Unknown,84.2,debit
3135,2019-09-09,DEB,AMZNMktplace,9.97,,5547.48,Amazon,Swansea,UK,9.97,debit
3136,2019-09-09,DEB,WH SMITH,6.49,,5557.45,Other Shopping,Unknown,Unknown,6.49,debit
3137,2019-09-09,DEB,POUNDLAND LTD 1414,4.0,,5563.94,Groceries,Unknown,Unknown,4.0,debit
3138,2019-09-09,DEB,Audible.co.uk,18.0,,5567.94,Entertainment,Swansea,UK,18.0,debit
3139,2019-09-09,DD,THE GYM LTD,14.99,,5585.94,Fitness,Swansea,UK,14.99,debit
3140,2019-09-09,BP,SAVE THE CHANGE,0.51,,5600.93,Savings,Swansea,UK,0.51,debit
3141,2019-09-09,DEB,MARKS&SPENCER PLC,12.5,,5601.44,Clothes,Unknown,Unknown,12.5,debit
3142,2019-09-09,DEB,MARKS&SPENCER PLC,11.0,,5613.94,Clothes,Unknown,Unknown,11.0,debit
3143,2019-09-09,CPT,LNK M&S SWANSEA,50.0,,5624.94,Cash,Swansea,UK,50.0,debit
3144,2019-06-09,DEB,AMZNMKTPLACE AMAZO,10.99,,5674.94,Amazon,Swansea,UK,10.99,debit
3145,2019-06-09,CPT,LNK TESCO FABIAN W,50.0,,5685.93,Cash,Swansea,UK,50.0,debit
3146,2019-05-09,BP,SAVE THE CHANGE,0.75,,5735.93,Savings,Swansea,UK,0.75,debit
3147,2019-04-09,DEB,SAINSBURYS S/MKTS,13.55,,5736.68,Groceries,Unknown,Unknown,13.55,debit
3148,2019-04-09,DEB,WWW.FREEDOM-LEISUR,5.95,,5750.23,Entertainment,Worcester,UK,5.95,debit
3149,2019-04-09,DEB,AMZNMktplace,2.75,,5756.18,Amazon,Swansea,UK,2.75,debit
3150,2019-04-09,CPT,LNK TESCO FABIAN W,50.0,,5758.93,Cash,Swansea,UK,50.0,debit
3151,2019-04-09,BP,SAVE THE CHANGE,0.19,,5808.93,Savings,Swansea,UK,0.19,debit
3152,2019-03-09,DEP,CLUB LLOYDS WAIVED,,3.0,5809.12,Supplementary Income,Swansea,UK,3.0,credit
3153,2019-03-09,PAY,CLUB LLOYDS FEE,3.0,,5806.12,Bills,Swansea,UK,3.0,debit
3154,2019-03-09,DEB,WWW.III.CO.UK DE,1000.0,,5809.12,Investment,Swansea,UK,1000.0,debit
3155,2019-03-09,DEB,AMZNMktplace,2.81,,6809.12,Amazon,Swansea,UK,2.81,debit
3156,2019-03-09,BP,SAVE THE CHANGE,0.4,,6811.93,Savings,Swansea,UK,0.4,debit
3157,2019-02-09,Unknown,INTEREST (GROSS),,6.53,6812.33,Interest,Swansea,UK,6.53,credit
3158,2019-02-09,FPI,E JAKUBOWSKA,,15.0,6805.8,Supplementary Income,Swansea,UK,15.0,credit
3159,2019-02-09,DEB,M&S SIMPLY FOOD SS,9.6,,6790.8,Groceries,Swansea,UK,9.6,debit
3160,2019-02-09,DD,SANTANDER MORTGAGE,1018.45,,6800.4,Mortgage,Swansea,UK,1018.45,debit
3161,2019-02-09,DD,CC SWANSEA C.TAX,147.0,,7818.85,Bills,Swansea,UK,147.0,debit
3162,2019-02-09,DD,GOOD ENERGY LTD,50.0,,7965.85,Bills,Swansea,UK,50.0,debit
3163,2019-02-09,DD,DWR CYMRU W WATER,32.5,,8015.85,Bills,Swansea,UK,32.5,debit
3164,2019-02-09,DD,ZURICH,20.69,,8048.35,Insurance,Swansea,UK,20.69,debit
3165,2019-02-09,SO,ESAVINGS ACCOUNT,300.0,,8069.04,Savings,Swansea,UK,300.0,debit
3166,2019-08-30,DD,UCU B ACCOUNT,24.26,,8369.04,Others,Swansea,UK,24.26,debit
3167,2019-08-30,BGC,SWANSEA UNI - PAY,,3311.76,8393.3,Paycheck,Swansea,UK,3311.76,credit
3168,2019-08-28,DEB,FOREIGN CASH FEE,1.5,,5081.54,Travel,Unknown,Unknown,1.5,debit
3169,2019-08-28,DEB,CALLE CATALUNA 4,207.55,,5083.04,Travel,Madrid,Spain,207.55,debit
3170,2019-08-28,DEB,REVOLUT*7996*,10.0,,5290.59,Dine Out,Unknown,Unknown,10.0,debit
3171,2019-08-27,BP,SAVE THE CHANGE,3.08,,5300.59,Savings,Swansea,UK,3.08,debit
3172,2019-08-27,DEB,NON-GBP PURCH FEE,0.5,,5303.67,Others,Swansea,UK,0.5,debit
3173,2019-08-27,DEB,NON-GBP TRANS FEE,8.51,,5304.17,Others,Swansea,UK,8.51,debit
3174,2019-08-27,DEB,AMISTAT ISLAND HOS,284.75,,5312.68,Hotels,Illes Balears,Spain,284.75,debit
3175,2019-08-27,DEB,WWW.III.CO.UK DE,500.0,,5597.43,Investment,Nottingham,UK,500.0,debit
3176,2019-08-27,DEB,WWW.III.CO.UK DE,500.0,,6097.43,Investment,Nottingham,UK,500.0,debit
